Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
vbeam laser rabat morocco,3,3,1000,20,0.00,https://www.dabadoc.com/ma/en/laser-vasculaire/rabat,44,55.69,0.00,0,485,"[100,0]",2025-11-27,"Local pack, Video, Image",commercial,Organic
dermatologue gauthier,2,2,210,3,0.00,https://www.dabadoc.com/ma/dermatologue/casablanca/gauthier,27,34.17,0.00,0.01,114000,"[3,0,0,23,44,35,81,100,66,23,23,66]",2025-12-16,"Image pack, Sitelinks, Video, Related searches, See results about",informational,Organic
dermatologue casablanca,1,1,50,0,0.00,https://www.dabadoc.com/ma/dermatologue/casablanca,6,7.59,0.00,0,682000,"[9,4,4,9,4,9,33,52,52,14,23,100]",2025-12-21,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
vbeam laser rabat morocco,19,19,1000,20,0.00,https://www.dabadoc.com/ma/en/epilation-laser/rabat,1,1.26,0.00,0,485,"[100,0]",2025-11-27,"Local pack, Video, Image",commercial,Organic
مراكز علاج الإدمان في المغرب,1,1,90,6,0.00,https://www.dabadoc.com/ma/ar/addictologue/casablanca,1,1.26,0.00,0,10,"[50,35,64,100,64]",2025-11-16,"Local pack, Image pack, Video, Video Carousel, People also ask, Related searches",commercial,People also ask
doctoliub,86,86,480,74,1.25,https://www.dabadoc.com/ma,0,0,0.00,0.02,11600000,"[0,0,0,0,0,20,0,100,0,0,0,0]",2025-11-26,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
doclib,87,87,1000,75,1.25,https://www.dabadoc.com/ma,0,0,0.00,0.02,10900000,"[16,24,20,30,34,8,100,44,24,34,65,24]",2025-12-08,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
doctloib,95,95,50,72,1.85,https://www.dabadoc.com/ma,0,0,0.00,0.03,11000000,"[0,100,0,0,0,0,0,0,0,0,0,0]",2025-12-26,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
dr samir wahib,93,93,140,12,0.00,https://www.dabadoc.com/ma/ophtalmologue/fes/abdelkafi-lachachi-mohamed,0,0,0.00,0,10,"[8,8,10,8,8,8,8,8,8,8,10,13]",2025-11-13,"Knowledge panel, Image pack, Image",informational,Organic
chirurgien viscéral,98,98,170,15,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,1130000,"[1,1,1,0,0,0,0,100,0,0,0,0]",2025-09-08,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Things to know",,Organic
